"","DASanthesis_BLUP","DASmaturity_BLUP","DATanthesis_BLUP","DATmaturity_BLUP","fruitno_BLUP","fruitlength_BLUP","fruitwidth_BLUP","fruitshapeindex_BLUP","fruitweight_BLUP","yield_BLUP","pollenconcentration_BLUP","pollenactivity_BLUP","leaftemp_BLUP","leafminushobotemp_BLUP","growthrateplot_BLUP","growthrateplant_BLUP","height_BLUP","heightmax_BLUP","leafangledaily_BLUP","leafanglemean_BLUP","leafanglenoon_BLUP","leafanglemidnight_BLUP","leafanglemidnightminusnoon_BLUP","leafanglebright_BLUP","leafanglelow_BLUP","leafanglelowminusbright_BLUP","leafanglecold_BLUP","leafangleHot_BLUP","leafanglecoldminushot_BLUP","leafareadaily_BLUP","leafareadailyplant_BLUP","leafareaindex_BLUP","leafareaprojecteddaily_BLUP","leafareaprojectedplant_BLUP","leafinclinationmean_BLUP","leafinclinationhot_BLUP","leafinclinationcold_BLUP","leafinclinationbright_BLUP","leafinclinationdark_BLUP","leafinclinationnoon_BLUP","leafinclinationmidnight_BLUP","lightpendaily_BLUP","lightpenmeanplot_BLUP","lightpenmeanplant_BLUP","huedaily_BLUP","huemean_BLUP","huebin0_BLUP","huebin1_BLUP","huebin5_BLUP","ndvimean_BLUP","ndvibin0_BLUP","ndvibin1_BLUP","ndvibin2_BLUP","ndvibin3_BLUP","ndvibin4_BLUP","ndvibin5_BLUP","green_BLUP","greenb0_BLUP","greenb1_BLUP","greenb2_BLUP","greenb3_BLUP","npcimean_BLUP","psrimean_BLUP","biomassfinalplot_BLUP","biomassfinalplant_BLUP","heightfinal_BLUP","heighmaxfinal_BLUP","leafareafinalplot_BLUP","leafareafinalplant_BLUP","leafareaindexfinal_BLUP","leafareafinalprojectedplot_BLUP","leafareafinalprojectedplant_BLUP","lightpenetrationfinal_BLUP","biomassAUC_BLUP","biomassAUCperplant_BLUP"
"PPC17",61.1601993921942,108.24716119056,21.826812172815,68.9138540571017,27.3406624752519,2.59361051143499,3.32169430302358,0.733146789945559,15.4646394232894,7.72500605751354,29829.7834598491,61.1634256469064,32.3198006088051,0.0540411340877163,2829619.55597701,709.213988441247,4.51829149653511,4.05773248309395,-0.0480626012316321,36.5331234644075,37.0781335961485,37.2706459209157,0.183325389824614,37.0865866364234,36.8943842086882,0.80201523938591,36.1276425280386,36.0833092766801,0.834465425387358,6061.96933969498,1521.81609399378,0.195168117330098,2852.59444030882,715.723438525638,1.65293968377378,1.6435965557732,1.71554821735714,1.68915080325328,1.68709585539973,1.685455704179,1.67691636908203,2.24676798335776,135.673097068571,34.2510861465267,0.00527498080340642,95.9208313341601,0.117994266208241,0.648948093467209,0.0224859437052622,0.647806105730147,0.0318250112442696,0.0517424413420562,0.137783804752776,0.299236804287671,0.328956427062273,0.131709802552361,0.315542053101572,0.319667117313974,0.288164832231392,0.228052280036986,0.101164549179235,0.234269737243801,0.0944912336857648,164198152.752124,41162.040736476,38.4483951005137,551.254196625117,381849.346578953,29265.8791234994,0.331092934452818,177965.039529807,446.759902258305,216.381598130099,238213096989.526,59729033895.9612
"PPC170",68.8344486802287,115.98833191783,29.5011470597222,76.6610482217792,19.0055372320204,6.93129487574991,5.4879785953551,1.17853228430796,58.4851400530787,9.5567434202915,26801.0296469427,56.3501870687068,32.3215089363594,0.0557887671634727,2862831.40955082,718.087144938529,4.08424176589295,3.08655596486429,-0.0285871506116203,36.1885991023567,36.7711439387841,36.9705879194523,0.189365829068356,36.1085425042966,36.611687436266,0.80201523938591,35.9664255913112,35.581819921223,0.834465428764019,5940.95072556473,1494.58230677355,0.20321887312541,2827.44218132996,710.691769705435,1.67033183482004,1.65109174056495,1.72988392149489,1.73273330780407,1.70644404523319,1.70000968251212,1.69340981989462,1.73018655762426,115.780528725076,29.7733975543536,0.0116009233618309,95.9208313430133,0.105055885362217,0.661644454771147,0.0181998647961744,0.649292152233075,0.0337083230519915,0.0494227591853355,0.134665952481783,0.294767422237326,0.332104860334541,0.135360634290391,0.330996325280569,0.291376714372837,0.291580316501982,0.242138863095601,0.10964156002825,0.232756096658722,0.092612829522264,155583402.096861,39006.8892058402,33.7796994436534,496.60625527242,367515.759452473,29213.3648674569,0.317920374679222,171261.289162455,431.523159772471,170.607603471234,238213096989.526,59729033895.9612
"PPC171",69.8246743948139,111.324912271789,30.4913838193232,71.9917662157418,20.8570737525596,5.89538705296097,4.28662162186946,1.35732471029875,28.7244365982649,9.29045279565829,24318.4445543965,57.167227788492,32.2837738788264,0.0187538194304228,3195685.46390173,801.856053623577,5.94193751477382,4.65702362682546,-0.0307677995227413,36.0195524820439,37.055929941685,37.1992494832685,0.144817589645758,35.9049433723141,36.3577582414679,0.80201523938591,35.6404870018405,35.5157321767053,0.834465427214952,6224.42901991872,1562.11588507351,0.206170816917024,2971.83890784405,745.467080826559,1.64946125356453,1.63631551911835,1.73884373658099,1.74325322269564,1.71086648862369,1.68933676506783,1.68661839897179,2.24566417689252,128.224367449265,32.441844140333,0.0149747593929906,95.9208313377185,0.122173122133665,0.608336443033164,0.025675349841837,0.657230599785512,0.0315779531361599,0.04329674774383,0.118516024709661,0.291668514316836,0.349438026025358,0.142329216516647,0.29828223229176,0.344802907775613,0.280996068542571,0.210839686868277,0.0931670072696445,0.226980362847236,0.0853118623962042,174020532.95631,43652.4580345103,43.8224262384899,542.396381141953,373582.733793327,29190.7107376898,0.322904586485447,173343.849610142,435.242316672651,209.808951005722,238213096989.526,59729033895.9612
"PPC172",70.6498624903014,117.333854858952,31.3165811189906,78.0010232873723,23.8336477394343,6.05669521987522,2.93677794086102,2.19385182005046,26.9080260263503,6.92766210516296,20380.4446900992,54.1898414286219,32.3516514269844,0.0845689373897585,3099020.58541521,783.600709579843,5.44853055600965,4.30822079281339,-0.0601689624278556,35.8486683984667,36.094415165789,36.3367033311521,0.221833190003471,35.1043762193871,36.5347894883859,0.80201523938591,35.5791544715638,34.5844565088624,0.834465435051858,5452.6201349036,1377.70997154715,0.191813635748718,2426.75112951333,613.306179535079,1.73120436348193,1.64134800033567,1.752582119713,1.78833857223094,1.71750015370945,1.74076082184486,1.73124773646467,1.87864852719938,142.066454687707,44.2297231540481,0.0255179969903647,95.9208313469286,0.105771112626376,0.677272673191982,0.016358661884524,0.651453674419152,0.032225974403333,0.0524088693649815,0.144005834504102,0.300791371957357,0.333722711973382,0.127614862481262,0.333587338569986,0.289738742508483,0.306471452593813,0.251272673886034,0.106783925149284,0.234209988273337,0.0951646238575859,169148649.944374,42862.6077389405,45.5623188865058,574.5584718042,338441.95350869,29212.2416620124,0.293284127751307,148891.022321823,380.076979789695,192.898153494868,238213096989.526,59729033895.9612
"PPC173",66.5239220128635,114.4170680175,27.1905946206534,75.0851611970309,16.7324552753048,6.53343025583352,4.12430519499334,1.39523823866247,51.4703588111415,8.58186382846751,28430.5971967833,55.780443735732,32.3841476133508,0.117067475862334,2878719.56647706,726.966644501845,4.0480709550061,3.08655596486429,-0.0584394822569666,34.6690169828051,34.8732141702987,35.1982195956964,0.286767911873699,35.445500802784,35.9196059053457,0.80201523938591,35.0949195420454,34.1265937037077,0.834465435925593,5564.37329701564,1409.92929215739,0.193021249118015,2437.14388926549,618.100263992865,1.75903180515594,1.65312614786557,1.76990442887945,1.75452456007946,1.73905956523815,1.79024434817747,1.77296646499063,1.92666410843743,139.442828547915,38.0039656972841,0.0202272086687733,95.9208313392741,0.110199092655047,0.671116608533427,0.0203328430326218,0.641044915796913,0.0352473735615276,0.0578876766688384,0.150214189464765,0.300187954243466,0.315396010836305,0.126569901697569,0.324753411370638,0.303610948668325,0.300588187105736,0.241679730360681,0.100665901482235,0.235643963564465,0.0974683270769737,159217832.514756,40399.2456054489,35.5107998211291,531.792170925854,349135.099651414,29075.6609779223,0.3019708968993,150595.64818559,382.448560904139,189.981020705693,238213096989.526,59729033895.9612
"PPC174",60.8301241539992,114.182823990074,21.496733252948,74.8498275059076,160.567534783165,2.96159476720812,1.24947333960045,2.22495346900277,7.85842015339754,7.04097162556904,23854.8111859961,61.1437058121823,32.2787627846671,0.0131762670609875,2739650.20875907,686.445552914845,4.02952182121797,3.32678536770103,-0.023849878839185,35.3948149721919,36.1233764542196,36.1630363206588,0.0647817696661736,35.3025972610907,36.7837396793644,0.80201523938591,35.95065436924,35.2241685979512,0.834465431820184,6119.51835346087,1536.08643862227,0.173296897419502,2947.22477231559,739.331484665835,1.69033280852323,1.64884318512743,1.72868927948341,1.75753025004848,1.69649354760455,1.71844472173408,1.71766489461901,1.53591661974157,139.430412406737,35.1612683443147,0.0199971743939215,95.9208313386604,0.136734827781488,0.592917046344302,0.0292672047022697,0.640472369741673,0.0401682850591234,0.0550873973802004,0.135089870992312,0.288692335422899,0.322713265136456,0.13761383098023,0.288622037074922,0.372213659159967,0.265823436494373,0.207215468896886,0.0972233144971708,0.22628329152516,0.092612829522264,158151217.169557,39628.8715981156,36.2542351412527,509.483766252851,377371.188571864,29260.9140266099,0.326464737775608,179345.258123708,450.200407894316,182.819609325558,238213096989.526,59729033895.9612
"PPC175",60.9951617730967,111.398192059438,21.6617727128815,72.0650498385665,26.8743325506416,9.63572017328506,3.48515193627071,2.81910221105719,27.2183294990525,9.93480278727625,35619.719956502,65.7981197755769,32.252758243007,-0.011550881776842,2990783.84079201,782.481158424972,4.52478369336095,3.64652129887875,-0.0206916976575615,36.6295902857817,37.6023329167423,37.8215562708693,0.207487146799583,37.665115490698,36.3306503317836,0.80201523938591,36.4395622534461,35.1675836663708,0.834465435517341,6005.26623258943,1570.03572649868,0.192081994275229,2842.58582531484,744.075972388033,1.65728772153535,1.64113385219877,1.71375625433992,1.66886239596239,1.71639454286182,1.66993146062367,1.6623633242474,1.77765023562969,142.20303224067,37.0919297679323,-0.0152747477500208,95.9208313436556,0.110464289281083,0.657852252118523,0.0183407218495247,0.647889736052823,0.0351137191751732,0.0469236540993657,0.127794370174,0.300111248601869,0.347377111282105,0.123128062116278,0.322529628311217,0.30362105960576,0.293682152976191,0.240693083419682,0.103945469027894,0.230206807252273,0.0903091263028762,165221096.619263,43158.8351740071,39.194761177484,535.864375958895,368650.422063834,29298.008906644,0.320127668479122,175168.241760649,456.791347768392,195.735220815197,238213096989.526,59729033895.9612
"PPC176",71.5575693953378,112.424109086514,32.2242981486248,73.0910205581132,17.0165300853922,6.13230842311627,5.43609788147823,1.12245363717616,50.3472907814299,9.52594861917506,25406.8020295282,57.0691615833775,32.2565924892955,-0.00786969721301471,3011550.55765622,771.534612218068,5.08218516369416,4.19879245273118,-0.0819754515390658,34.7618088776507,35.3085988730387,35.4847701630102,0.17124451133713,35.1281934763359,36.2863925200541,0.80201523938591,35.5914209776191,34.5352146600062,0.834465435559311,5638.36010884979,1454.51780330805,0.197851702595202,2456.98388336293,635.606311760962,1.71902985774956,1.64413192611547,1.74183034160968,1.77631581235486,1.71584173743801,1.75919586106681,1.75259220222214,2.20427143444593,133.349368492629,35.6636295980837,-0.00300625309125832,95.9208313339793,0.10636579596961,0.689442803731349,0.0147790506433813,0.640703961404467,0.0358305927019834,0.0501212270170553,0.14090165702377,0.302882879118216,0.324633205255578,0.121514903906451,0.346399593260956,0.268748436394901,0.287855186679388,0.256762729141888,0.118607629195478,0.238491997823232,0.0972911191370208,172146048.841333,44274.5860499428,39.4722061589756,563.392952757402,364313.487246773,29192.8214469531,0.315570674827715,157596.31034256,411.018690246238,205.385131666441,238213096989.526,59729033895.9612
"PPC177",69.5771179661676,113.450026113591,30.2438246294229,74.1169912776599,35.6865179999887,8.97032398476379,2.19858217780952,4.1221540550935,15.8279215376723,8.3625679211809,26177.8061829742,60.3277310294092,32.3174848758981,0.0518472968224051,3522678.34095888,884.620379225607,5.16658372243013,4.10560738187992,-0.0247522163196489,36.1178567666823,37.1959095024329,37.3951072784359,0.189365829068356,36.1684697959744,37.3391752165698,0.80201523938591,37.5575666624907,34.6371539260595,0.834465447493995,6285.03256995409,1577.1448814325,0.20992783628817,2982.52919934002,748.129305601382,1.64859164601222,1.62132514953485,1.66358128985779,1.72146197042024,1.67382852522822,1.68351517373459,1.67594616609306,1.97909491553645,149.982222232881,37.7203447680345,-0.00250784549574606,95.9208313372618,0.12136949599416,0.61257134775757,0.0252125338094003,0.653370738738946,0.0320396682890207,0.0463277136557883,0.122980843860887,0.288278124958279,0.347135440497879,0.140160922890483,0.303994702536142,0.333326993787697,0.277364770705433,0.22125320804753,0.0998220361488484,0.226980362847236,0.0896002945430646,193516206.891602,48595.4815778539,43.3994203336101,560.554721815076,395324.434316528,29237.9786719503,0.342485418581333,185819.990197777,466.339340948567,197.043765548461,238213096989.526,59729033895.9612
"PPC178",69.4120803470701,110.372275032361,30.0787851694894,71.0390791190198,20.416693447322,5.2148682237915,4.61880971524264,1.08062728168858,36.1868566978803,10.2590664378393,25785.4634803392,59.7476995825721,32.2437230883864,-0.0204005982030125,3318718.29299984,838.357227111995,5.95584936511492,4.7416596086078,-0.0552061062853044,35.2900795661285,36.1166188202525,36.2527642760803,0.141797370023887,35.4493422958403,36.6564984706421,0.80201523938591,35.7549743916904,36.0595522443372,0.834465423166775,5850.93272847748,1479.29313661036,0.194765579540333,2638.65788889546,668.131370991589,1.67381026502929,1.63374574147547,1.73884373658099,1.75903309503299,1.70589123980937,1.72329604784512,1.71766489461901,1.98571775432791,143.644259705157,36.9380700481433,0.0309621414951906,95.9208313387889,0.107265857245855,0.648263158186339,0.0180489465247276,0.652946154023824,0.0300956044875014,0.0452511760802936,0.127158492408205,0.29449128192758,0.342839071000543,0.137287280735326,0.317572020206272,0.304955703347086,0.291073623780521,0.230709388630566,0.102353632149007,0.230186890928785,0.0898129440710081,185496129.312058,46945.6472562491,46.9094901170583,622.739592225146,361827.537354132,29195.3522565402,0.313149771950406,161811.951854187,409.844700493919,207.310746629298,238213096989.526,59729033895.9612
