"treatment","g2pname","genotype","DASanthesis","DASmaturity","DATanthesis","DATmaturity","fruitno","fruitlength","fruitwidth","fruitshapeindex","fruitweight","yield","pollenconcentration","pollenactivity","leaftemp","leafminushobotemp","growthrateplot","growthrateplant","height","heightmax","leafangledaily","leafanglemean","leafanglenoon","leafanglemidnight","leafanglemidnightminusnoon","leafanglebright","leafanglelow","leafanglelowminusbright","leafanglecold","leafangleHot","leafanglecoldminushot","leafareadaily","leafareadailyplant","leafareaindex","leafareaprojecteddaily","leafareaprojectedplant","leafinclinationmean","leafinclinationhot","leafinclinationcold","leafinclinationbright","leafinclinationdark","leafinclinationnoon","leafinclinationmidnight","lightpendaily","lightpenmeanplot","lightpenmeanplant","huedaily","huemean","huebin0","huebin1","huebin5","ndvimean","ndvibin0","ndvibin1","ndvibin2","ndvibin3","ndvibin4","ndvibin5","green","greenb0","greenb1","greenb2","greenb3","npcimean","psrimean","biomassfinalplot","biomassfinalplant","heightfinal","heighmaxfinal","leafareafinalplot","leafareafinalplant","leafareaindexfinal","leafareafinalprojectedplot","leafareafinalprojectedplant","lightpenetrationfinal","biomassAUC","biomassAUCperplant","cluster"
"stress1","GPC030530","PPC170",75.6666666666667,121,35.6666666666667,81,15.2396087456847,5.37331416155419,4.26415388548057,1.68961017382413,29.0862806748466,3.8429858183212,10160,44.4333333333333,34.425,-0.968333333333333,460432.219333333,117.106666666667,3.72,4.07333333333333,-0.0333333333333333,33.3666666666667,35.25,35.47,0.22,34.8033333333333,38.8733333333333,4.06666666666667,37.01,33.23,3.78333333333333,1260.59,327.476666666667,0.0333333333333333,668.746666666667,172.33,1.66,1.88,1.66666666666667,1.78,1.6,1.75,1.74333333333333,1.33333333333333,85.4733333333333,22.62,-0.01,78.9833333333333,0.14,0.793333333333333,0.0133333333333333,0.556666666666667,0.02,0.09,0.23,0.37,0.22,0.01,0.303333333333333,0.283333333333333,0.323333333333333,0.246666666666667,0.08,0.38,0.14,36731496.6666667,9302.69,27.28,334.813333333333,94114.7233333333,248.366666666667,0.0766666666666667,50933.61,133.776666666667,131.276666666667,22460747049.3333,7001881316.16667,1
"stress1","GPC032590","PPC171",75.6666666666667,114.333333333333,35.6666666666667,74.3333333333333,10.6,6,4.66666666666667,1.3,31,9.73333333333333,12212.6666666667,64.1333333333333,34.725,-0.668333333333333,1368744.70733333,342.186666666667,7.62666666666667,8.85333333333333,0.0133333333333333,31.3533333333333,34.7266666666667,34.9333333333333,0.203333333333333,33.46,37.8733333333333,4.41,35.68,31.33,4.34666666666667,2576.59333333333,644.15,0.0533333333333333,1376.30666666667,344.076666666667,1.63333333333333,1.56,1.72333333333333,1.83,1.63333333333333,1.77333333333333,1.77,3.55,109.46,27.3633333333333,0.0366666666666667,71.3633333333333,0.2,0.676666666666667,0.03,0.56,0.0166666666666667,0.0633333333333333,0.18,0.38,0.256666666666667,0.0133333333333333,0.236666666666667,0.386666666666667,0.286666666666667,0.176666666666667,0.05,0.35,0.116666666666667,100347900,25086.9766666667,48.9333333333333,582.533333333333,170803.786666667,427.01,0.143333333333333,93436.3033333333,233.59,238.61,58493633511.3333,14623418103.0667,1
"stress1","GPC032640","PPC172",76.3333333333333,124.333333333333,36.3333333333333,84.3333333333333,6.33333333333333,4.43333333333333,2.56666666666667,1.66666666666667,12.2666666666667,1.63333333333333,10511.4784404854,46.9241117996385,36.025,0.631666666666667,406633.980666667,127.743333333333,5.48666666666667,6.09666666666667,-0.05,33.9933333333333,34.59,34.95,0.356666666666667,34.5233333333333,40.6833333333333,6.15666666666667,37.0733333333333,27.13,9.94666666666667,587.033333333333,177.926666666667,0.0266666666666667,294.896666666667,89.45,1.79333333333333,1.57333333333333,1.67,1.82666666666667,1.54333333333333,1.79666666666667,1.78333333333333,1.88,140.11,65.3366666666667,-0.0233333333333333,82.47,0.143333333333333,0.836666666666667,0.01,0.576666666666667,0.02,0.1,0.26,0.39,0.213333333333333,0.0133333333333333,0.32,0.296666666666667,0.35,0.26,0.08,0.4,0.153333333333333,29272500,9153.22666666667,42.6866666666667,493.893333333333,56371.6533333333,187.786666666667,0.0466666666666667,29906.8766666667,100.13,206.076666666667,25238080578.3333,11587489672.6667,1
"stress1","GPC032660","PPC173",71.6666666666667,120,31.6666666666667,80,30.5125508247027,5.01329498977505,2.22830777096115,2.47922034764826,16.7725613496933,5.81930496997573,13502,66.6666666666667,34.9416666666667,-0.451666666666667,281257.048333333,92.7333333333333,3.14333333333333,3.46,-0.0566666666666667,32.6933333333333,33.6966666666667,34.1133333333333,0.416666666666667,34.5033333333333,38.7833333333333,4.28333333333333,36.1166666666667,27.57,8.54333333333333,729.973333333333,233.566666666667,0.03,337.57,109.273333333333,1.79333333333333,1.77,1.70333333333333,1.79,1.61,1.83666666666667,1.81666666666667,1.15666666666667,95.21,34.0133333333333,-0.02,82.1566666666667,0.126666666666667,0.83,0.0133333333333333,0.553333333333333,0.02,0.113333333333333,0.27,0.383333333333333,0.183333333333333,0.00666666666666667,0.316666666666667,0.276666666666667,0.35,0.263333333333333,0.0733333333333333,0.386666666666667,0.153333333333333,25202133.3333333,8360.40333333333,27.84,333.383333333333,61485.28,189.733333333333,0.0466666666666667,29577.6666666667,91.1,137.273333333333,20722218584,7035593617.5,1
"stress1","GPC032730","PPC174",69,115.666666666667,29,75.6666666666667,126.133333333333,2.46666666666667,1.2,2.06666666666667,1.2,4.46666666666667,29012.3333333333,85.0666666666667,34.4083333333333,-0.985,572578.129333333,143.143333333333,4.17,5.16666666666667,-0.00333333333333333,33.3133333333333,35.4966666666667,35.4733333333333,-0.0266666666666667,34.1733333333333,38.43,4.25666666666667,35.44,35.7933333333333,-0.353333333333333,1521.36,380.34,0.03,848.343333333333,212.086666666667,1.65,1.71666666666667,1.73666666666667,1.78666666666667,1.61666666666667,1.73333333333333,1.73666666666667,1.31333333333333,107.366666666667,26.84,-0.04,71.1066666666667,0.24,0.676666666666667,0.03,0.553333333333333,0.03,0.0966666666666667,0.22,0.356666666666667,0.23,0.0133333333333333,0.236666666666667,0.426666666666667,0.276666666666667,0.176666666666667,0.06,0.37,0.14,36133933.3333333,9033.48666666667,34.4366666666667,411.326666666667,94727.3533333333,236.82,0.0766666666666667,52912.69,132.283333333333,157.07,29072043700.3333,7268010925.26667,1
"stress1","GPC032740","PPC175",69,109.333333333333,29,69.3333333333333,13.1666666666667,9.26666666666667,3.6,2.56666666666667,26.0333333333333,10.1,44711,93.0666666666667,33.1,-2.29333333333333,615011.947666667,153.753333333333,3.35333333333333,4.33,0.02,34.74,37.7666666666667,38.1066666666667,0.34,37.2733333333333,39.27,2,41.8,31.6966666666667,10.1033333333333,1376.60333333333,344.15,0.0466666666666667,801.51,200.376666666667,1.62,1.65333333333333,1.50666666666667,1.67,1.59,1.65666666666667,1.65,1.68666666666667,112.616666666667,28.1533333333333,-0.203333333333333,77.4833333333333,0.173333333333333,0.753333333333333,0.02,0.573333333333333,0.0266666666666667,0.07,0.196666666666667,0.38,0.263333333333333,0.0166666666666667,0.276666666666667,0.343333333333333,0.316666666666667,0.213333333333333,0.0633333333333333,0.353333333333333,0.126666666666667,57476966.6666667,14369.2433333333,36.9466666666667,467.213333333333,115032.466666667,287.583333333333,0.0966666666666667,66037.1833333333,165.093333333333,199.056666666667,44378124546.6667,11094531137,1
"stress1","GPC033290","PPC176",73,115,33,75,6.96666666666667,5.66666666666667,5.26666666666667,1.06666666666667,41.6666666666667,8.7,18546.3333333333,62.1333333333333,33.7416666666667,-1.65166666666667,725346.310333333,249.776666666667,4.77333333333333,6.05333333333333,-0.07,32.0266666666667,33.8533333333333,34.07,0.216666666666667,33.71,38.4666666666667,4.76,36.4233333333333,30.3266666666667,6.09666666666667,1576.68333333333,561.223333333333,0.0466666666666667,738.136666666667,261.786666666667,1.7,1.60333333333333,1.68666666666667,1.83,1.61,1.81333333333333,1.80666666666667,2.45333333333333,98.29,31.6833333333333,-0.21,78.6133333333333,0.15,0.783333333333333,0.01,0.533333333333333,0.06,0.0833333333333333,0.22,0.363333333333333,0.206666666666667,0.01,0.306666666666667,0.296666666666667,0.313333333333333,0.243333333333333,0.08,0.373333333333333,0.153333333333333,49407833.3333333,16873.46,35.06,446.586666666667,119964.41,434.373333333333,0.1,59110.05,213.61,201.153333333333,41436832200.3333,17139212078.0333,1
"stress1","GPC033360","PPC177",71.6666666666667,109.333333333333,31.6666666666667,69.3333333333333,18.1666666666667,8.5,2.13333333333333,3.96666666666667,11.0666666666667,6.16666666666667,25654.3333333333,79.7333333333333,35.7416666666667,0.348333333333333,376464.773,94.1166666666667,3.49666666666667,4.94333333333333,0.06,32.97,36.6066666666667,36.7133333333333,0.106666666666667,35.2733333333333,38.3,3.03,41.1333333333333,25.5633333333333,15.5666666666667,802.39,200.6,0.03,496.52,124.13,1.57666666666667,1.08333333333333,1.52333333333333,1.74333333333333,1.63,1.68666666666667,1.69,1.05333333333333,101.416666666667,25.3533333333333,-0.296666666666667,71.7466666666667,0.193333333333333,0.686666666666667,0.0333333333333333,0.563333333333333,0.0133333333333333,0.07,0.186666666666667,0.353333333333333,0.27,0.0166666666666667,0.243333333333333,0.38,0.28,0.19,0.06,0.343333333333333,0.12,27776600,6944.15333333333,36.8966666666667,465.766666666667,69025.25,172.563333333333,0.0566666666666667,39789.5666666667,99.4733333333333,158.32,31698649625.6667,7924662406.33333,1
"stress1","GPC033480","PPC178",75.6666666666667,112,35.6666666666667,72,13.4333333333333,4.66666666666667,5,0.9,30,11.8333333333333,19176.4784404854,76.5241117996385,33.5,-1.89333333333333,1478070.88166667,392.036666666667,6.47666666666667,6.96666666666667,-0.0133333333333333,32.3333333333333,35.1066666666667,35.2233333333333,0.12,34.0633333333333,39.7766666666667,5.71333333333333,36.4366666666667,37.0233333333333,-0.586666666666667,2513.00333333333,671.703333333333,0.0566666666666667,1331.27,356.816666666667,1.59333333333333,1.42,1.68666666666667,1.80333333333333,1.56666666666667,1.75333333333333,1.74666666666667,1.07333333333333,111.626666666667,30.6166666666667,0.0366666666666667,75.0266666666667,0.146666666666667,0.75,0.0133333333333333,0.556666666666667,0.01,0.07,0.193333333333333,0.366666666666667,0.256666666666667,0.0133333333333333,0.273333333333333,0.31,0.313333333333333,0.21,0.0666666666666667,0.35,0.123333333333333,98887066.6666667,26302.3566666667,49.6133333333333,575.353333333333,169136.69,449.766666666667,0.14,88313.2566666667,235.46,186.81,74681062364.3333,18847211831.6667,1
"stress1","GPC034830","PPC179",73,119.333333333333,33,79.3333333333333,76.7,1.56666666666667,1.96666666666667,0.8,3,6.6,6455.66666666667,61.5333333333333,35.2,-0.193333333333333,195369.504,48.84,2.52333333333333,3.08666666666667,-0.0466666666666667,34.5866666666667,34.6566666666667,34.85,0.193333333333333,34.6433333333333,39.1166666666667,4.47333333333333,35.7066666666667,34.4533333333333,1.25333333333333,666.013333333333,166.503333333333,0.0366666666666667,342.66,85.6666666666667,1.77333333333333,1.77666666666667,1.71,1.77,1.58666666666667,1.77333333333333,1.76333333333333,1.14,84.3833333333333,21.0966666666667,-0.26,76.1766666666667,0.226666666666667,0.74,0.03,0.616666666666667,0.02,0.0733333333333333,0.196666666666667,0.39,0.3,0.0233333333333333,0.266666666666667,0.406666666666667,0.293333333333333,0.213333333333333,0.0733333333333333,0.41,0.133333333333333,15718066.6666667,3929.52,22.8066666666667,282.473333333333,54907.44,137.266666666667,0.0466666666666667,29092.4833333333,72.73,125.016666666667,18132594944,4533148736.13333,1
"stress1","GPC035430","PPC180",70.3333333333333,110.666666666667,30.3333333333333,70.6666666666667,30.8666666666667,3.93333333333333,2.03333333333333,1.96666666666667,4.6,4.2,25739.6666666667,93.2666666666667,32.0083333333333,-3.385,585809.067666667,146.453333333333,4.79333333333333,5.25666666666667,-0.0466666666666667,32.6233333333333,34.7966666666667,34.8766666666667,0.0833333333333333,35.2,39.29,4.08666666666667,36.6933333333333,29.7833333333333,6.90666666666667,938.773333333333,234.696666666667,0.0366666666666667,473.616666666667,118.403333333333,1.68333333333333,1.43,1.67333333333333,1.74666666666667,1.58333333333333,1.75666666666667,1.76333333333333,1.95,115.71,28.93,-0.163333333333333,75.8933333333333,0.183333333333333,0.74,0.0233333333333333,0.6,0.02,0.0633333333333333,0.166666666666667,0.326666666666667,0.33,0.0366666666666667,0.276666666666667,0.343333333333333,0.293333333333333,0.223333333333333,0.08,0.38,0.123333333333333,36423166.6666667,9105.79333333333,41.5566666666667,478.543333333333,91841.4666666667,229.603333333333,0.0766666666666667,49076.6233333333,122.69,161.733333333333,43190717328.3333,10797679332.3333,1
