"treatment","g2pname","genotype","DASanthesis","DASmaturity","DATanthesis","DATmaturity","fruitno","fruitlength","fruitwidth","fruitshapeindex","fruitweight","yield","pollenconcentration","pollenactivity","cluster"
"stress1","GPC128800","PPC297",69,108,29,68,39.5,4,1.56666666666667,2.56666666666667,3.56666666666667,4.13333333333333,13205.3333333333,88.9,2
"stress1","GPC130280","PPC298",70.3333333333333,115.666666666667,30.3333333333333,75.6666666666667,63.5333333333333,5.5,1.33333333333333,4.26666666666667,3.4,4.83333333333333,7627,89.0666666666667,2
"stress2","9823-123 ","Purple border",56.6666666666667,90,20.6666666666667,54,153.096666666667,3.63333333333333,0.9,4.04,0.933333333333333,1.21333333333333,9770,12.1866666666667,2
"stress2","GPC000040","PPC2",77.6666666666667,98,41.6666666666667,62,4.82333333333333,4.96666666666667,5.26666666666667,0.926666666666667,35.7333333333333,1.25666666666667,38535.3333333333,1.53,2
"stress2","GPC000160","PPC3",67.6666666666667,94,31.6666666666667,58,6.62666666666667,4.73333333333333,5.23333333333333,0.916666666666667,44.0333333333333,2.41333333333333,14677.4784404854,22.5741117996385,2
"stress2","GPC000280","PPC4",56.6666666666667,93.3333333333333,20.6666666666667,57.3333333333333,9.41666666666667,4.35,4.8,0.913333333333333,25.15,1.75666666666667,22750.3333333333,6.61666666666667,2
"stress2","GPC000300","PPC5",75.2002232973577,110.942171910975,36.9786626969359,71.5093246354566,42.2188262370541,7.01994248466258,2.79246165644172,3.26883052147239,22.3588420245399,8.12895745496359,14100.8117738187,20.7074451329719,2
"stress2","GPC000760","PPC6",73,106,37,70,15.7262754123514,5.17331416155419,3.76415388548057,1.75294350715746,21.4529473415133,2.95965248498786,8722.14510715208,33.3307784663052,2
"stress2","GPC001360","PPC7",59,93.3333333333333,23,57.3333333333333,104.013333333333,2.82,1.7,1.65666666666667,2.4,1.87,23682.6666666667,17.9866666666667,2
"stress2","GPC001460","PPC8",72,112,36,76,19.8166666666667,2.1,2.73333333333333,0.766666666666667,6.6,1.06,11242.4784404854,22.9041117996385,2
"stress2","GPC001490","PPC9",77,110.942171910975,41,71.5093246354566,10.3433333333333,2.23333333333333,3.16666666666667,0.7,8.8,0.64,15377.1451071521,28.1041117996385,2
"stress2","GPC002420","PPC10",63,96,27,60,4.23,16.7766666666667,4.47333333333333,3.45333333333333,28.1666666666667,0.806666666666667,9694.66666666667,3.03333333333333,2
"stress2","GPC002430","PPC11",67.6666666666667,98,31.6666666666667,62,8.13666666666667,3.46666666666667,3.96666666666667,0.873333333333333,16.9833333333333,1.02666666666667,13882.6666666667,1.98,2
"stress2","GPC002650","PPC12",69,96.6666666666667,33,60.6666666666667,4.93666666666667,3.37666666666667,4.87666666666667,0.693333333333333,27.0166666666667,1.07,59302,18.7133333333333,2
"stress2","GPC002710","PPC13",77,120.628114607316,41,82.3395497569711,30.9458841580361,5.54662832310838,2.39497443762781,2.7225536809816,15.5725613496933,5.45930496997573,4068.33333333333,0.813333333333333,2
"stress2","GPC002770","PPC14",72,110.942171910975,36,71.5093246354566,26.0866666666667,2.04333333333333,1.38666666666667,1.49333333333333,1.31666666666667,0.22,8438.33333333333,0.933333333333333,2
"stress2","GPC002790","PPC15",66,113.333333333333,30,77.3333333333333,47.6766666666667,4.93333333333333,1.88333333333333,2.67333333333333,4.96666666666667,1.68666666666667,8239.33333333333,9.13,2
"stress2","GPC002850","PPC16",61.6666666666667,94,25.6666666666667,58,62.92,4.3,2.1,2.05666666666667,4.8,2.33333333333333,6060,10.66,2
"stress2","GPC002860","PPC17",64.6666666666667,98,28.6666666666667,62,15.2633333333333,1.95,2.95,0.663333333333333,9,0.976666666666667,15563.6666666667,4.12,2
"stress2","GPC003010","PPC18",62.6666666666667,87.3333333333333,26.6666666666667,51.3333333333333,38.0466666666667,6.13333333333333,0.833333333333333,7.62666666666667,2.6,0.526666666666667,17099.3333333333,5.12333333333333,2
"stress2","GPC003030","PPC19",69,95,33,59,25.7233333333333,9.06666666666667,2.13333333333333,4.25,16.1333333333333,3.11333333333333,41407,4.39666666666667,2
"stress2","GPC003040","PPC20",69,90,33,54,8.02333333333333,9.72333333333333,2.7,3.53333333333333,21.6,1.31333333333333,18084.3333333333,4.20666666666667,2
